issue_date;community_area_name;unit_description;license_plate_number;violation_code;fine_amount
2013-12-02 17:40:00;AUSTIN;CPD;868f87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8a0;0976160F;60
2013-12-02 18:40:00;AUSTIN;CPD;968f87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8a0;0976160F;60
2013-12-02 24:00:00;AUSTIN;CPD;868f87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8a0;0976160F;60
2013-12-02 01:00:00;AUSTIN;CPD;868f87916a821c5597d01l570327ce9941c7e49648db9190babccc2a03aaa8a1;0976160F;60
2013-12-02 02:00:00;AUSTIN;CPD;868f87916a821c5597d01357a327ce9941c7e49648db9190babccc2a03aaa8a2;0976160F;60
2013-12-02 03:00:00;AUSTIN;CPD;868f87916a821c5597d01357a327ce9941c7e49648db9190babccc2a03aaa8a3;0976160F;60
2013-12-02 04:00:00;AUSTIN;CPD;868f87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8a4;0976160F;60
2013-12-02 05:00:00;AUSTIN;CPD;868f87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8a5;0976160F;60
2013-12-02 06:00:00;AUSTIN;CPD;868f87916a821c5597d013570a27ce9941c7e49648db9190babccc2a03aaa8a6;0976160F;60
2013-12-02 07:00:00;AUSTIN;CPD;868f87916a821c5597d013570a27ce9941c7e49648db9190babccc2a03aaa8a7;0976160F;60
2013-12-02 08:00:00;AUSTIN;CPD;868f87916a821c5537d013570327ce9941c7e49648db9190babccc2a03aaa8a8;0976160F;60
2013-12-02 09:00:00;AUSTIN;CPD;868f87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8a9;0976160F;60
2013-12-02 10:00:00;AUSTIN;CPD;868f83916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8b0;0976160F;60
2013-12-02 11:00:00;AUSTIN;CPD;868f87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8b1;0976160F;60
2013-12-02 12:00:00;AUSTIN;CPD;868f87913a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8b2;0976160F;60
2013-12-02 13:00:00;AUSTIN;CPD;868287916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8b3;0976160F;60
2013-12-02 14:00:00;AUSTIN;CPD;868287916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8b4;0976160F;60
2013-12-02 15:00:00;AUSTIN;CPD;868s87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8b5;0976160F;60
2013-12-02 16:00:00;AUSTIN;CPD;868087916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8b6;0976160F;60
2013-12-02 17:00:00;AUSTIN;CPD;868l87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8b7;0976160F;60
2013-12-02 18:00:00;AUSTIN;CPD;868n87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8b8;0976160F;60
2013-12-02 19:00:00;AUSTIN;CPD;868r87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8b9;0976160F;60
2013-12-02 20:00:00;AUSTIN;CPD;868c87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8c0;0976160F;60
2013-12-02 21:00:00;AUSTIN;CPD;868b87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8c1;0976160F;60
2013-12-02 22:00:00;AUSTIN;CPD;868a87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8c2;0976160F;60
2013-12-02 23:00:00;AUSTIN;CPD;862f87916a821c5597d013570327ce9941c7e49648db9190babccc2a03aaa8c3;0976160F;60
2001-10-01 09:47:00;BELMONT CRAGIN;DOF;ebd792a8f58ccf144834059385ba328151cd23f0e266a734b5d456a9fe949093;0964040B;50
2011-06-14 12:02:00;NEAR WEST SIDE;DOF;a8e45edd567a502c593c153923282bca96e7a5dbb88e5867631eaff3032beca2;0964190;50
2007-07-25 09:08:00;WEST GARFIELD PARK;DOF;d82efcb70c996ad221a078f58f7687de5df62b76e0348eeddb5c1b71f27583df;0964040B;50
2017-09-14 07:25:00;NEAR NORTH SIDE;Miscellaneous;1066167559556f485e305d4a83adb8190c65b12924c8d350194e4a96ba2b616e;0964080A;100
2003-08-08 09:09:00;BELMONT CRAGIN;CPD;79d38403be12df557e49333cff112fd8913f402fbd413c57ac9c7c44089676a7;0976160F;25
1997-06-26 09:30:00;WEST TOWN;Unidentified;94653debd63caadf0ee857f958c73939baea097082bc7a23adc86538fead4564;0964125;60
2003-07-31 20:19:00;NEAR NORTH SIDE;CPD;aa1e5cb614ecca9aa1a82ffaa2c249924af228d7194cc3702896f290899322f2;0976160A;25
2014-02-03 10:22:00;LOOP;CPD;42665a1f75d2dcc17f8cff20417d81f4a4f3df5511a7340370fc982ed408ca39;0964110C;60
2005-04-08 18:56:00;NEAR NORTH SIDE;CPD;3301e232d84cfb4fef4a1ff6cc3d1286b43da10a111f4b74da6daf57175c001f;0964150B;50
2001-08-13 19:13:00;GARFIELD RIDGE;CPD;8a20436ddbde2fe9b0a19aa660618babdcfd87edd52a656ad56c672dbd4c8660;0964110A;30
2008-10-24 21:23:00;NEAR WEST SIDE;CPD;905c64ee71f5fa9aba623772d1a9d5652b805160666f620b413c5dc21fc734ac;0940060;100
2006-08-11 21:18:00;PORTAGE PARK;CPD;17c44e64115a57561f51b12da176e77d8f7745b1d16f073ebfb082824324bfc6;0964100A;100
1999-06-21 01:39:00;EDGEWATER;CPD;26764957ec53e7fb0f74205b00a24840c7568736463fa11f8cdb37193161ef51;0964080B;30
2016-01-06 20:27:00;UPTOWN;DOF;5a55c3ffef8818cdaa1eba416036ab40b221508e61fd0d0ce7f7d53bb1ede4a1;0976160F;60
1997-06-13 21:50:00;BELMONT CRAGIN;Unidentified;e3f560e8bcb5fe76f7c0738bb7694d4c5bfb34c9befd22473939f577ba07f59a;0976160A;25
2008-10-30 01:45:00;SOUTH LAWNDALE;CPD;91b53a153f0d23383cd0e175cece66b195e1f8f41a77c28b5cf8af176de1b9b7;0964170A;25
